"Title","Author","Pub","Demo","Vols","Series","Sold","SaleVol","Run","Digi","Tele","No. Votes","No. Seen","Bayes. Estimate","Serielized"
"H2 (manga)","Mitsuru Adachi",2,0,34,7,55,1.61,0,0,0,"92","171","8.365979194641113","1992-1999"
"Haikyu!! (manga)","Haruichi Furudate",3,0,45,8,55,1.22,0,0,0,"24","89","8.194371223449707","2012-2020"
"Hajime no Ippo (manga)","George Morikawa",1,0,134,33,100,0.74,1,0,0,"178","417","8.757658004760742","1989-present"
"Hayate the Combat Butler (manga)","Kenjiro Hata",2,0,52,13,20,0.38,0,0,0,"172","534","7.996829986572266","2004-2017"
"Hikaru no Go (manga)","Yumi Hotta, Takeshi Obata",3,0,23,5,25,1.08,0,0,0,"562","1341","8.164961814880371","1998-2003"
"Hoshin Engi (manga)","Ryu Fujisaki",3,0,23,4,22,0.95,0,0,0,"90","235","7.404383659362793","1996-2000"
"Initial D (manga)","Shuichi Shigeno",1,1,48,18,56,1.16,0,0,0,"92","319","7.504245758056641","1995-2013"
"Inuyasha (manga)","Rumiko Takahashi",2,0,56,12,50,0.89,0,0,0,"797","2219","7.282645225524902","1996-2008"
"Itazura na Kiss (manga)","Kaoru Tada",3,2,23,9,35,1.52,0,0,0,"41","157","7.107846260070801","1990-1999"
"Jigoku Sensei Nube (manga)","Shō Makura, Takeshi Okano",3,0,70,29,25,0.35,1,0,0,"17","85","7.361418724060059","1993-present"
"JoJo's Bizarre Adventure (manga)","Hirohiko Araki",3,0,131,35,120,0.92,1,0,1,"156","407","8.032139778137207","1987-present"
"Jujutsu Kaisen (manga)","Gege Akutami",3,0,21,4,70,3.33,1,1,1,"15","60","7.963894844055176","2018-present"
"Kimagure Orange Road (manga)","Izumi Matsumoto",3,0,18,3,20,1.11,0,0,0,"132","235","8.196167945861816","1984-1987"
"Kindaichi Case Files (manga)","Yōzaburō Kanari, Seimaru Amagi, Fumiya Satō",1,0,87,30,100,1.15,1,0,0,"73","212","7.603723526000977","1992-present"
"Kingdom (manga)","Yasuhisa Hara",3,1,66,16,92,1.39,1,1,0,"33","85","8.613219261169434","2006-present"
"Kinnikuman (manga)","Yudetamago",3,0,76,19,77,1.01,1,0,0,"10","29","8.031143188476562","1979-1987, 2011-present"
"Kuroko's Basketball (manga)","Tadatoshi Fujimaki",3,0,30,6,31,1.03,0,0,0,"39","140","7.949894905090332","2008-2014"
"Love Hina (manga)","Ken Akamatsu",1,0,14,3,20,1.42,0,0,0,"1336","2642","8.156962394714355","1998-2001"
"Magi: The Labyrinth of Magic (manga)","Shinobu Ohtaka",2,0,37,8,25,0.67,0,0,0,"58","161","7.936855316162109","2009-2017"
"Maison Ikkoku (manga)","Rumiko Takahashi",2,1,15,7,25,1.66,0,0,0,"315","663","8.54381275177002","1980-1987"
"Major (manga)","Takuya Mitsuda",2,0,101,28,60.5,0.59,1,0,0,"11","66","7.939093589782715","1994-present"
"Master Keaton (manga)","Naoki Urasawa, Hokusei Katsushika, Takashi Nagasaki",2,1,18,6,20,1.11,0,0,0,"25","46","8.071552276611328","1988-1994"
"Miyuki (manga)","Mitsuru Adachi",2,0,12,4,25,2.08,0,0,0,"52","81","7.566628456115723","1980-1984"
"Monster (manga)","Naoki Urasawa",2,1,18,7,20,1.11,0,0,1,"905","1502","9.215944290161133","1994-2001"
"My Hero Academia (manga)","Kōhei Horikoshi",3,0,34,8,65,1.91,1,1,1,"39","153","8.070342063903809","2014-present"
"Naruto (manga)","Masashi Kishimoto",3,0,72,15,250,3.47,0,0,1,"2247","5130","8.053887367248535","1999-2014"
"Negima! Magister Negi Magi (manga)","Ken Akamatsu",1,0,38,9,20,0.52,0,0,0,"710","1785","8.167522430419922","2003-2012"
"Neon Genesis Evangelion (manga)","Yoshiyuki Sadamoto",0,0,14,19,25,1.78,0,0,1,"538","1491","8.146554946899414","1994-2013"
"Nodame Cantabile (manga)","Tomoko Ninomiya",1,2,23,8,38.7,1.68,0,0,0,"184","405","8.48250675201416","2001-2009"
"Oh My Goddess! (manga)","Kōsuke Fujishima",1,1,48,26,25,0.52,0,0,0,"389","1284","7.685452461242676","1988-2014"
"Oishinbo (manga)","Tetsu Kariya, Akira Hanasaki",2,1,111,31,135,1.22,0,0,0,"12","44","7.835249900817871","1983-2014 "
"One-Punch Man (manga)","One, Yusuke Murata",3,1,26,10,30,1.15,1,0,1,"83","264","8.492012977600098","2012-present"
"One Piece (manga)","Eiichiro Oda",3,0,103,25,516.6,5.02,1,0,1,"1337","3012","8.492558479309082","1997-present"
"Parasyte (manga)","Hitoshi Iwaaki",1,1,10,7,25,2.5,0,0,1,"251","486","8.312498092651367","1988-1995"
"Patalliro! (manga)","Mineo Maya",0,2,101,43,25,0.24,1,0,0,"5","13","7.521055221557617","1979-present"
"Prince of Tennis (manga)","Takeshi Konomi",3,0,42,9,60,1.42,0,0,0,"288","797","7.336585998535156","1999-2008"
