ID,Title,Author,Pub,Demo,Vols,Series,Sold,SaleVol,Run,Digi,Tele
75,Shaman King,Hiroyuki Takei,0,0,32,6,38,1.08,0,0,0
76,The Seven Deadly Sins,Nakaba Suzuki,1,0,41,8,37,0.9,0,0,1
77,20th Century Boys,Naoki Urasawa,2,1,22,7,36,1.63,0,0,0
78,Cooking Papa,Tochi Ueyama,1,1,158,37,36,0.22,1,0,0
79,The Chef,"Mai Tsurugina, Tadashi Katou",0,1,62,30,35,0.56,0,0,0
80,Dr. Slump,Akira Toriyama,3,0,18,4,35,1.94,0,0,0
81,Itazura na Kiss,Kaoru Tada,3,2,23,9,35,1.52,0,0,0
82,Urusei Yatsura,Rumiko Takahashi,2,0,34,9,35,1.02,0,0,0
83,Worst,Hiroshi Takahashi,0,0,33,11,35,1.06,0,0,0
84,Salary Man Kintaro,Hiroshi Motomiya,3,1,30,8,34,1.13,0,0,0
85,3×3 Eyes,Yuzo Takada,1,1,40,15,33.33,0.83,0,0,0
86,Kimi ni Todoke,Karuho Shiina,3,2,30,12,33,1.1,0,0,0
87,Chibi Maruko-chan,Momoko Sakura,3,2,17,32,32.5,1.91,0,1,0
88,Black Butler,Yana Toboso,0,0,32,16,32,1,1,0,1
89,A Certain Magical Index,Kazuma Kamachi,0,0,105,5,31,0.29,1,0,0
90,Kuroko's Basketball,Tadatoshi Fujimaki,3,0,30,6,31,1.03,0,0,0
91,Bastard!!,Kazushi Hagiwara,3,0,27,24,30,1.11,0,0,1
92,Chameleon,Atsushi Kase,1,0,47,9,30,0.63,0,0,1
93,Death Note,"Tsugumi Ohba, Takeshi Obata",3,0,12,3,30,2.5,0,0,0
94,Fruits Basket,Natsuki Takaya,0,2,23,8,30,1.3,0,0,0
95,Gaki Deka,Tatsuhiko Yamagami,0,0,26,6,30,1.15,0,0,0
96,Jarinko Chie,Etsumi Haruki,0,1,67,19,30,0.44,0,0,0
97,Jingi [ja],Tachihara Ayumi,0,1,81,31,30,0.37,0,0,0
98,Kaze Densetsu: Bukkomi no Taku [ja],"Hiroto Saki, Shinya Kuwahara",1,0,27,6,30,1.11,0,0,0
99,One-Punch Man,"One, Yusuke Murata",3,1,26,10,30,1.15,1,0,1
100,Reborn!,Akira Amano,3,0,42,8,30,0.71,0,0,0
101,Shura no Mon,Masatoshi Kawahara,1,0,31,9,30,0.96,0,0,0
102,That Time I Got Reincarnated as a Slime,"Fuse, Taiki Kawakami",1,0,19,7,30,1.57,1,0,1
103,Tokimeki Tonight,Koi Ikeno,3,2,30,12,30,1,0,0,0
104,Ushio and Tora,Kazuhiro Fujita,2,0,33,6,30,0.9,,0,0
105,Yawara!,Naoki Urasawa,2,1,29,7,30,1.03,0,0,0
106,Futari Ecchi,Katsu Aki,0,1,84,25,29.5,0.35,1,0,0
107,Shonan Bakusozoku,Satoshi Yoshida,0,1,16,6,29,1.81,0,0,0
108,Asari-chan,Mayumi Muroyama,2,2,100,36,28,0.28,0,0,0
109,Pok�mon Adventures,"Hidenori Kusaka, Mato, Satoshi Yamamoto",2,2,59,25,28,0.47,1,0,1
110,Space Brothers,Chūya Koyama,1,1,40,15,28,0.7,1,0,0
111,Yowamushi Pedal,Wataru Watanabe,0,0,80,14,28,0.35,1,0,0
112,Chihayafuru,Yuki Suetsugu,1,2,50,15,27,0.53,0,0,0
113,Sakigake!! Otokojuku,Akira Miyashita,3,0,34,6,27,0.79,0,0,0
114,Spy x Family,Tatsuya Endo,3,0,10,3,27,2.7,1,0,1
115,Bari Bari Densetsu,Shuichi Shigeno,1,0,38,8,26,0.68,0,0,0
116,Tsuribaka Nisshi,"Jūzō Yamasaki, Kenichi Kitami",2,1,106,43,26,0.24,1,0,0
117,Angel Heart,Tsukasa Hojo,0,1,54,16,25,0.46,0,0,0
118,Ashita no Joe,"Ikki Kajiwara, Tetsuya Chiba",1,0,20,5,25,1.25,0,0,0
119,Assassination Classroom,Yūsei Matsui,3,0,21,4,25,1.19,0,0,1
120,Boys Be...,"Masahiro Itabashi, Hiroyuki Tamakoshi",1,0,32,6,25,0.78,0,0,0
121,D.Gray-man,Katsura Hoshino,3,0,27,18,25,0.92,1,0,0
122,Emblem Take 2 [ja],"Kazumasa Kiuchi, Jun Watanabe",1,1,62,14,25,0.4,0,0,0
123,Flame of Recca,Nobuyuki Anzai,2,0,33,7,25,0.75,0,0,0
124,Hikaru no Go,"Yumi Hotta, Takeshi Obata",3,0,23,5,25,1.08,0,0,0
125,Jigoku Sensei Nube,"Shō Makura, Takeshi Okano",3,0,70,29,25,0.35,1,0,0
126,Magi: The Labyrinth of Magic,Shinobu Ohtaka,2,0,37,8,25,0.67,0,0,0
127,Maison Ikkoku,Rumiko Takahashi,2,1,15,7,25,1.66,0,0,0
128,Miyuki,Mitsuru Adachi,2,0,12,4,25,2.08,0,0,0
129,Neon Genesis Evangelion,Yoshiyuki Sadamoto,0,0,14,19,25,1.78,0,0,1
130,Oh My Goddess!,Kōsuke Fujishima,1,1,48,26,25,0.52,0,0,0
131,Patalliro!,Mineo Maya,0,2,101,43,25,0.24,1,0,0
132,Parasyte,Hitoshi Iwaaki,1,1,10,7,25,2.5,0,0,1
133,The Ping Pong Club,Minoru Furuya,1,1,13,3,25,1.92,0,0,0
134,Saiyuki,Kazuya Minekura,"
 0 ",0,23,25,25,1.08,0,0,0
135,Seito Shokun!,Yoko Shoji,1,2,79,42,25,0.31,0,0,0
136,The Silent Service,Kaiji Kawaguchi,1,1,32,8,25,0.78,0,0,0
137,Toriko,Mitsutoshi Shimabukuro,3,0,43,8,25,0.58,0,0,0
138,Yukan Club,Yukari Ichijo,3,2,19,20,25,1.31,0,0,0
139,Ahiru no Sora,Hinata Takeshi,1,0,51,15,24,0.47,0,0,0
140,Gantz,Hiroya Oku,3,1,37,13,24,0.64,0,0,0
141,Zatch Bell!,Makoto Raiku,2,0,33,6,23.8,0.72,0,0,0
142,Rave Master,Hiro Mashima,1,0,35,6,23.5,0.67,0,0,0
143,Himitsu Series [ja],"Yasuko Uchiyama, Tokuo Yokota, Terumi Fujiki, Yoshitari Iizuka",0,2,116,42,23,0.19,0,0,0
144,Golden Kamuy,Satoru Noda,3,1,31,8,23,0.74,0,0,0
145,The Rose of Versailles,Riyoko Ikeda,3,2,10,1,23,2.3,0,0,0
146,Abu-san,Shinji Mizushima,2,1,107,41,22,0.2,0,0,0
147,Hoshin Engi,Ryu Fujisaki,3,0,23,4,22,0.95,0,0,0
148,Terra Formars,"Yū Sasuga, Kenichi Tachibana",3,1,22,7,22,1,0,0,0
149,Dōbutsu no Oisha-san,Noriko Sasaki,0,2,12,6,21.6,1.8,0,0,0
150,Kaiji,Nobuyuki Fukumoto,1,1,79,26,21.5,0.28,1,0,0
151,Rookies,Masanori Morita,3,0,24,5,21,0.87,0,0,0
152,Tsubasa: Reservoir Chronicle,Clamp,1,0,28,6,21,0.71,0,0,0
153,Ushijima the Loan Shark,Shohei Manabe,2,1,46,15,21,0.45,0,0,0
154,Dragon Quest Retsuden: Roto no Monshō,"Chiaki Kawamata, Junji Koyanagi, Kamui Fujiwara",0,0,21,6,20.9,0.99,0,0,0
155,0 2 Nippon no Rekishi,"Kōta Kodama, Arakawa Shoji",2,2,24,37,20.2,0.84,0,0,0
156,750 Rider,Isami Ishii,0,0,50,10,20,0.4,0,0,0
157,Buddha,Osamu Tezuka,0,1,14,11,20,1.42,0,0,0
158,Cat's Eye,Tsukasa Hojo,3,0,18,3,20,1.11,0,0,0
159,Chainsaw Man,Tatsuki Fujimoto,3,0,12,4,20,1.66,1,0,1
160,Cuffs - Kizu Darake no Chizu,Jin Tojo,3,1,32,8,20,0.63,0,0,0
