ID,title,rating,nb. votes
156,Pet Shop of Horrors (manga),8.27,245
157,xxxHOLiC (manga),8.27,659
158,Gantz (manga),8.27,674
159,Piano no Mori (manga),8.27,23
160,Chihayafuru (manga),8.26,18
161,"Eden - It's an Endless World! (manga, Hiroki Endo)",8.26,168
162,(The) Summit of the Gods (manga),8.26,14
163,Barefoot Gen (manga),8.26,64
164,Holyland (manga),8.26,32
165,Witch Hat Atelier (manga),8.26,10
166,Hana-Kimi (manga),8.25,583
167,My Love Story!! (manga),8.25,15
168,Kaze to Ki no Uta (manga),8.25,20
169,Kiichi!! (manga),8.25,9
170,They Were Eleven (manga),8.25,33
171,Kare Kano (manga),8.25,576
172,Koikaze (manga),8.25,100
173,Short Program (manga),8.25,53
174,Solitary Gourmet (manga),8.25,7
175,Battle Angel Alita: Last Order (manga),8.25,175
176,Tokyo Revengers (manga),8.24,5
177,(The) Key to the Kingdom (manga),8.24,21
178,Rosario + Vampire Season II (manga),8.24,194
179,Hitler (manga),8.24,7
180,(The) Betrayal Knows My Name (manga),8.24,25
181,2001 Nights (manga),8.24,36
182,Samurai Executioner (manga),8.24,39
183,Higurashi no Naku Koroni (manga),8.23,67
184,We Were There (manga),8.23,85
185,Aria (manga),8.23,160
186,Rainbow - Nisha Rokubō no Shichinin (manga),8.23,12
187,Descending Stories: Showa Genroku Rakugo Shinju (manga),8.23,8
188,Black Lagoon (manga),8.23,140
189,Good-Bye (manga by Y. Tatsumi),8.23,19
190,Beyond Twilight (manga),8.22,9
191,(The) Voices of a Distant Star (manga),8.22,117
192,(The) Drifting Classroom (manga),8.22,79
193,Billy Bat (manga),8.22,37
194,Snow White with the Red Hair (manga),8.22,31
195,Path of the Assassin (manga),8.22,14
196,Baby Steps (manga),8.22,13
197,Akumetsu (manga),8.22,54
198,Dusk maiden of Amnesia (manga),8.22,37
199,Ressentiment (manga),8.22,19
200,Mahoraba (manga),8.21,64
201,MW (manga),8.21,66
202,Spice & Wolf (manga),8.21,80
203,Boku to Issho (manga),8.21,9
204,Nana to Kaoru (manga),8.21,52
205,Orange (manga),8.21,34
206,Bloom Into You (manga),8.21,33
207,Dead Dead Demon's Dededede Destruction (manga),8.21,10
208,Complex Age (manga),8.2,5
209,Only the Ring Finger Knows (manga),8.2,193
210,"Tsubasa, RESERVoir CHRoNiCLE (manga)",8.2,832
211,Junjo Romantica (manga),8.2,128
212,Higurashi When They Cry: Cotton Drifting Arc (manga),8.2,7
213,Kimagure Orange Road (manga),8.2,132
214,Gambling Apocalypse Kaiji (manga),8.2,11
215,Haikyu!! (manga),8.2,24
216,Tokyo Ghoul (manga),8.2,110
217,After the Rain (manga),8.2,9
218,Noragami: Stray God (manga),8.2,29
219,Basara (manga),8.19,148
220,(The) Rose of Versailles (manga),8.19,41
221,Given (manga),8.19,6
222,Kyou Kara Ore Wa!! (manga),8.19,16
223,Eyeshield 21 (manga),8.19,280
224,Cardcaptor Sakura (manga),8.18,652
225,Count Cain (manga),8.18,113
226,Ran And The Gray World (manga),8.18,4
227,Silver Spoon (manga),8.18,35
228,Kabu no Isaki (manga),8.18,13
229,Inu × Boku SS (manga),8.18,25
230,Bad Teacher's Equation (manga),8.18,28
231,Ghost in the Shell: Stand Alone Complex (manga),8.18,5
232,Welcome to the N.H.K. (manga),8.18,320
233,(The) Story of Saiunkoku (manga),8.18,31
234,Higurashi When They Cry: Massacre Arc (manga),8.17,6
235,Katsu! (manga),8.17,68
236,Japan as Viewed by 17 Creators (manga),8.17,15
237,Non Non Biyori (manga),8.17,10
238,(The) Cain Saga (manga),8.17,85
239,Stringendo (manga),8.17,8
240,Inugami (manga),8.17,10
241,Wotakoi: Love is Hard for Otaku (manga),8.17,11
242,Puella Magi Madoka Magica (manga),8.17,77
243,Ai-Ren (manga),8.17,61
244,GE - Good Ending (manga),8.17,59
245,In This Corner of the World (manga),8.17,15
246,Devilman (manga),8.17,81
247,Negima! Magister Negi Magi (manga),8.17,710
248,Blue (manga by K. Nananan),8.17,39
249,Hikaru no Go (manga),8.16,562
250,Blame! (manga),8.16,266
251,Sekai no Owari to Yoake-Mae (manga),8.16,8
252,Zipang (manga),8.16,10
253,Gangsta. (manga),8.16,15
254,Chrono Crusade (manga),8.16,419
255,(The) Record of a Fallen Vampire (manga),8.16,61
256,A Zoo in Winter (manga),8.16,14
257,Love Hina (manga),8.16,1336
258,Wolf Children: Ame & Yuki (manga),8.16,13
259,Love Mode (manga),8.15,82
260,River's Edge (manga),8.15,16
261,ES (manga),8.15,146
262,Little Butterfly (manga),8.15,50
263,Kamisama Kiss (manga),8.15,77
264,"No Matter How I Look at It, It's You Guys' Fault I'm Not Popular! (manga)",8.15,36
265,Love Hina [anime comic] (manga),8.15,44
266,I am a Hero (manga),8.15,34
267,Neon Genesis Evangelion (manga),8.15,538
268,Saikyō Densetsu Kurosawa (manga),8.15,4
269,Delicious in Dungeon (manga),8.14,8
270,Hayate X Blade (manga),8.14,33
271,(The) Promised Neverland (manga),8.14,31
272,Doraemon (manga),8.14,71
273,Blood Alone (manga),8.14,77
274,Darwin's Game (manga),8.14,4
275,Parfait Tic! (manga),8.14,74
276,A Strange Kind of Woman (manga),8.14,13
277,Deep Love: Ayu no Monogatari (manga),8.14,34
278,Rin! (manga),8.13,66
279,Flower of Life (manga),8.13,29
280,Power Play! (manga),8.12,10
281,Disappearance Diary (manga),8.12,18
282,Soul Eater (manga),8.12,304
283,Vassalord (manga),8.12,31
284,Yankee-kun to Megane-chan (manga),8.12,58
285,Sidooh (manga),8.12,17
286,Utahime: The Songstress (manga),8.12,14
287,Beautiful People (manga),8.12,39
288,Shiki (manga),8.12,34
289,Yowamushi Pedal (manga),8.12,8
290,Witches (manga),8.12,20
291,Higurashi When They Cry: Festival Accompanying Arc (manga),8.12,5
292,Dogs: Bullets & Carnage (manga),8.12,70
293,I''s (manga),8.12,388
294,Gimmick! (manga),8.11,12
295,Boy's Next Door (manga),8.11,162
296,Until Death Do Us Part (manga),8.11,40
297,FAKE (manga),8.11,247
298,Homunculus (manga),8.11,91
299,Nura: Rise of the Yokai Clan (manga),8.11,83
300,Love So Life (manga),8.11,20
301,Awkward Silence (manga),8.11,38
302,(The) Gods Lie (manga),8.11,16
303,Q.E.D. (manga),8.1,11
304,Deep Love: Pao no Monogatari (manga),8.1,15
305,Sasaki and Miyano (manga),8.1,8
306,(The) Day I Become a Butterfly (manga),8.1,33
307,Tokimeki Tonight (manga),8.1,12
308,(The) Tyrant Falls in Love (manga),8.1,52
309,Shōjo x Shōjo x Shōjo (manga),8.1,4
310,Noramimi (manga),8.1,6
311,Chio's School Road (manga),8.1,5
312,"Hyouge Mono - Tea for Universe, Tea for Life (manga)",8.1,4
313,Angel Sanctuary (manga),8.1,453
314,Swing Shell (manga),8.1,5
315,I Sold My Life for Ten Thousand Yen Per Year (manga),8.09,5
316,Kizuna - Bonds of Love (manga),8.09,55
317,Bokkō (manga),8.09,22
318,Durarara!! Saika Arc (manga),8.09,14
319,(The) Garden of Words (manga),8.09,8
320,Not Simple (manga),8.09,34
321,Boys Run the Riot (manga),8.09,5
322,Chainsaw Man (manga),8.09,45
323,Ballad of a Shinigami (manga),8.09,24
324,Blue Exorcist (manga),8.08,154
325,Higurashi When They Cry: Curse Killing Arc (manga),8.08,7
326,Sunny (manga),8.08,9
327,"Inari, Konkon, Koi Iroha (manga)",8.08,12
328,Candy Candy (manga),8.08,18
329,Koi ni Ochita Ōjisama (manga),8.08,16
330,Sweat and Soap (manga),8.08,7
331,Nudist Beach ni Shūgakuryokō de!! (manga),8.08,8
332,Full Moon O Sagashite (manga),8.07,431
333,Kyōshi to Seito to (manga),8.07,6
334,Master Keaton (manga),8.07,25
335,Sket Dance (manga),8.07,19
336,Gerard & Jacques (manga),8.07,37
337,(The) High School Life of a Fudanshi (manga),8.07,5
338,Übel Blatt (manga),8.07,70
339,My Hero Academia (manga),8.07,39
340,(The) Ice Wanderer (manga),8.07,16
341,Puella Magi Madoka Magica: The Different Story (manga),8.07,25
342,Pokémon Adventures (manga),8.07,86
343,Ten Count (manga),8.07,14
344,Fujoshi Rumi: Mousou Shoujo Otaku Kei (manga),8.07,17
345,Petit Monster - Puchimon (manga),8.07,9
346,Takemitsuzamurai (manga),8.07,12
347,Abandon the Old in Tokyo (manga),8.07,35
348,Helen esp (manga),8.06,6
349,Our Kingdom (manga),8.06,65
350,Mobile Suit Gundam Seed Destiny Astray (manga),8.06,11
351,Yuruyuri (manga),8.06,14
352,Higurashi When They Cry: Eye Opening Arc (manga),8.06,8
353,Elfen Lied (manga),8.06,491
354,Honey and Clover (manga),8.06,117
355,Summer Wars (manga),8.06,11
356,Seven Days: Friday-Sunday (manga),8.06,28
357,Needless (manga),8.06,15
358,Yakitate!! Japan (manga),8.06,196
359,Yesterday o Utatte (manga),8.06,14
360,Tropical Citron - Psychedelic Witch Story (manga),8.06,17
361,Himizu (manga),8.05,12
362,Naruto (manga),8.05,2247
363,"I Love You So Much, I Hate You (manga)",8.05,4
364,Togainu no Chi (manga),8.05,19
365,Shin Tekken Chinmi (manga),8.05,7
366,Immortal Rain (manga),8.05,131
367,Maid-sama! (manga),8.05,237
368,Seven Days: Monday-Thursday (manga),8.05,38
369,Haven't You Heard? I'm Sakamoto (manga),8.05,16
370,Cage of Eden (manga),8.05,108
371,Beast Master (manga by K. Motomi),8.05,207
372,Shinigami-sama ni Saigo no Onegai o (manga),8.05,9
373,March comes in like a lion (manga),8.05,17
374,GoGo Monster (manga),8.05,29
375,Higurashi When They Cry: Time Killing Arc (manga),8.05,7
376,All You Need Is Kill (manga),8.04,63
377,(The) Music of Marie (manga),8.04,26
378,Boing Boing (manga),8.04,12
379,Young Miss Holmes (manga),8.04,6
380,Niea_7 (manga),8.04,7
381,Binbō-gami ga! (manga),8.04,16
382,Tekkonkinkreet (manga),8.04,95
383,Daily Lives of High School Boys (manga),8.04,8
384,Quest for the Missing Girl (manga),8.04,15
385,Suzuka (manga),8.04,283
386,Karneval (manga),8.03,22
387,Psyren (manga),8.03,159
388,Firefighter! Daigo of Fire Company M (manga),8.03,22
389,School Rumble (manga),8.03,362
390,"Sayonara, Zetsubou-Sensei (manga)",8.03,85
391,JoJo's Bizarre Adventure (manga),8.03,156
392,Kimi to Boku (manga),8.03,7
393,Appleseed (manga),8.03,140
394,Fushigi Yûgi: Genbu Kaiden (manga),8.03,167
395,Kinnikuman (manga),8.03,10
396,Tomo-chan Is a Girl! (manga),8.03,19
397,Koizora ~Setsunai Koi Monogatari~ (manga),8.03,8
398,SOIL (manga),8.03,9
